activity_id,deal_id,rep_id,activity_type,activity_date,duration_mins,outcome,notes,activity_month,is_positive
A000642,D00099,R005,Email,2024-01-18,90,Positive,Champion confirmed,2024-01,True
A000643,D00588,R004,Email,2024-09-11,30,Neutral,Sent pricing deck,2024-09,False
A000644,D00282,R001,Proposal Sent,2023-05-08,45,No Response,Budget approved,2023-05,False
A000645,D00403,R004,Call,2024-11-21,30,Positive,Budget approved,2024-11,True
A000646,D01133,R002,Meeting,2024-02-16,120,Positive,Stakeholder meeting set,2024-02,True
A000647,D00700,R002,Follow-up,2024-10-23,45,Neutral,Awaiting legal review,2024-10,False
A000648,D00199,R002,Meeting,2023-10-24,15,No Response,Champion confirmed,2023-10,False
A000649,D00327,R005,Demo,2023-11-28,60,Negative,Budget approved,2023-11,False
A000650,D00154,R002,Call,2023-03-24,120,Positive,Stakeholder meeting set,2023-03,True
A000651,D00552,R005,Demo,2023-06-04,120,Positive,,2023-06,True
A000652,D00405,R001,Follow-up,2023-07-16,90,Positive,Sent pricing deck,2023-07,True
A000653,D00462,R005,Email,2024-06-14,45,Positive,Decision deferred,2024-06,True
A000654,D00132,R005,Call,2023-06-01,15,Neutral,Sent pricing deck,2023-06,False
A000655,D00791,R003,Proposal Sent,2024-11-26,90,Positive,Budget approved,2024-11,True
A000656,D00874,R004,Email,2024-03-03,30,Negative,Budget approved,2024-03,False
A000657,D00084,R004,Demo,2023-11-13,120,Neutral,Follow up scheduled,2023-11,False
A000658,D00754,R002,Proposal Sent,2023-04-02,45,Negative,Champion confirmed,2023-04,False
A000659,D00628,R003,Meeting,2024-12-23,45,Positive,Decision deferred,2024-12,True
A000660,D01133,R002,Follow-up,2024-04-20,30,Neutral,Budget approved,2024-04,False
A000661,D00221,R002,Follow-up,2024-08-12,30,No Response,Follow up scheduled,2024-08,False
A000662,D00553,R005,Call,2024-09-11,60,No Response,Stakeholder meeting set,2024-09,False
A000663,D01171,R005,Follow-up,2023-07-23,15,Neutral,Awaiting legal review,2023-07,False
A000664,D00112,R004,Call,2023-09-07,15,Neutral,Champion confirmed,2023-09,False
A000665,D00615,R005,Meeting,2023-07-03,60,Neutral,Awaiting legal review,2023-07,False
A000666,D00924,R004,Meeting,2023-05-03,60,No Response,Follow up scheduled,2023-05,False
A000667,D00475,R004,Demo,2024-06-05,120,Positive,Champion confirmed,2024-06,True
A000668,D00836,R004,Call,2023-03-23,15,Positive,Decision deferred,2023-03,True
A000669,D00271,R001,Follow-up,2023-08-06,120,No Response,Budget approved,2023-08,False
A000670,D00421,R005,Proposal Sent,2024-04-25,90,Positive,Champion confirmed,2024-04,True
A000671,D00707,R003,Meeting,2023-09-05,60,Neutral,Awaiting legal review,2023-09,False
A000672,D00040,R005,Demo,2024-07-18,90,Negative,Sent pricing deck,2024-07,False
A000673,D00189,R003,Meeting,2023-08-22,90,Positive,Decision deferred,2023-08,True
A000674,D01188,R004,Demo,2023-06-02,45,Negative,Sent pricing deck,2023-06,False
A000675,D00994,R003,Demo,2024-09-22,15,Neutral,Champion confirmed,2024-09,False
A000676,D00536,R001,Demo,2024-05-03,15,Neutral,Awaiting legal review,2024-05,False
A000677,D01028,R004,Demo,2024-11-19,60,No Response,Decision deferred,2024-11,False
A000678,D00290,R001,Meeting,2024-12-29,15,Positive,Awaiting legal review,2024-12,True
A000679,D00433,R002,Meeting,2023-03-21,30,Positive,Sent pricing deck,2023-03,True
A000680,D00471,R002,Proposal Sent,2024-05-08,45,Negative,Awaiting legal review,2024-05,False
A000681,D00628,R003,Demo,2024-12-03,90,Negative,Decision deferred,2024-12,False
A000682,D00279,R004,Follow-up,2023-05-16,60,Positive,Budget approved,2023-05,True
A000683,D00877,R001,Email,2024-01-02,45,Neutral,Follow up scheduled,2024-01,False
A000684,D00581,R005,Proposal Sent,2023-05-04,45,Positive,Decision deferred,2023-05,True
A000685,D00863,R004,Demo,2023-05-13,45,Positive,Champion confirmed,2023-05,True
A000686,D00254,R005,Demo,2024-07-20,45,No Response,Budget approved,2024-07,False
A000687,D00181,R003,Proposal Sent,2024-02-24,60,Neutral,Decision deferred,2024-02,False
A000688,D00681,R005,Proposal Sent,2024-04-25,30,Neutral,Budget approved,2024-04,False
A000689,D00825,R002,Call,2023-05-08,30,Positive,Stakeholder meeting set,2023-05,True
A000690,D00700,R002,Meeting,2024-09-08,120,Negative,Sent pricing deck,2024-09,False
A000691,D00566,R001,Follow-up,2024-07-07,60,Positive,Champion confirmed,2024-07,True
A000692,D00680,R005,Demo,2024-11-29,15,Positive,,2024-11,True
A000693,D00391,R002,Proposal Sent,2023-06-21,60,Neutral,Stakeholder meeting set,2023-06,False
A000694,D01109,R003,Email,2023-05-22,30,No Response,Follow up scheduled,2023-05,False
A000695,D00212,R001,Email,2023-10-02,90,Positive,Champion confirmed,2023-10,True
A000696,D00384,R003,Meeting,2024-03-17,120,Neutral,Sent pricing deck,2024-03,False
A000697,D00342,R005,Call,2024-08-29,15,Neutral,Stakeholder meeting set,2024-08,False
A000698,D00844,R001,Email,2024-11-17,15,Positive,,2024-11,True
A000699,D01062,R001,Email,2023-03-22,45,Positive,Sent pricing deck,2023-03,True
A000700,D00420,R005,Email,2023-08-10,15,Positive,Awaiting legal review,2023-08,True
A000701,D00751,R002,Proposal Sent,2024-04-10,60,Positive,Sent pricing deck,2024-04,True
A000702,D01193,R004,Email,2023-07-10,60,Negative,Sent pricing deck,2023-07,False
A000703,D00306,R003,Meeting,2024-01-03,15,Positive,Awaiting legal review,2024-01,True
A000704,D00702,R001,Proposal Sent,2024-05-18,45,Neutral,Decision deferred,2024-05,False
A000705,D00869,R004,Meeting,2024-01-14,15,Neutral,Follow up scheduled,2024-01,False
A000706,D00537,R001,Meeting,2023-02-08,90,Neutral,Champion confirmed,2023-02,False
A000707,D01136,R005,Follow-up,2023-05-11,15,Positive,Budget approved,2023-05,True
A000708,D00206,R004,Follow-up,2023-11-19,120,Positive,Awaiting legal review,2023-11,True
A000709,D00496,R001,Email,2023-05-03,30,Positive,Decision deferred,2023-05,True
A000710,D01071,R001,Meeting,2023-07-24,45,No Response,Stakeholder meeting set,2023-07,False
A000711,D00504,R002,Follow-up,2023-05-14,15,Neutral,Decision deferred,2023-05,False
A000712,D01046,R003,Demo,2023-05-16,120,Positive,Budget approved,2023-05,True
A000713,D00213,R005,Call,2023-07-01,15,Neutral,,2023-07,False
A000714,D00310,R002,Email,2023-04-26,45,Positive,Stakeholder meeting set,2023-04,True
A000715,D00661,R003,Proposal Sent,2024-03-07,90,Positive,Sent pricing deck,2024-03,True
A000716,D00753,R002,Meeting,2023-07-09,60,No Response,Champion confirmed,2023-07,False
A000717,D00272,R001,Follow-up,2024-12-04,90,Positive,Decision deferred,2024-12,True
A000718,D00938,R001,Call,2024-07-28,45,Positive,Stakeholder meeting set,2024-07,True
A000719,D00032,R004,Proposal Sent,2024-08-03,30,Positive,Decision deferred,2024-08,True
A000720,D00443,R003,Demo,2024-07-30,60,Positive,Follow up scheduled,2024-07,True
A000721,D00162,R004,Follow-up,2024-03-16,120,Neutral,Follow up scheduled,2024-03,False
A000722,D00767,R002,Email,2023-09-04,15,Negative,Budget approved,2023-09,False
A000723,D00254,R005,Demo,2024-06-12,30,Positive,Sent pricing deck,2024-06,True
A000724,D00521,R005,Call,2023-05-30,120,Positive,Decision deferred,2023-05,True
A000725,D00977,R002,Meeting,2023-06-29,15,Negative,Decision deferred,2023-06,False
A000726,D00010,R004,Follow-up,2023-02-02,90,Positive,Awaiting legal review,2023-02,True
A000727,D00726,R001,Demo,2024-06-23,45,Positive,Budget approved,2024-06,True
A000728,D00505,R003,Proposal Sent,2024-02-17,60,Positive,Budget approved,2024-02,True
A000729,D00785,R005,Meeting,2024-04-26,60,Negative,Decision deferred,2024-04,False
A000730,D00436,R002,Proposal Sent,2024-02-12,90,Neutral,Champion confirmed,2024-02,False
A000731,D01135,R003,Call,2023-03-06,120,Positive,Stakeholder meeting set,2023-03,True
A000732,D00153,R004,Meeting,2023-05-06,60,Neutral,,2023-05,False
A000733,D00917,R001,Call,2023-10-28,45,Neutral,Stakeholder meeting set,2023-10,False
A000734,D00869,R004,Proposal Sent,2023-12-25,60,Negative,Stakeholder meeting set,2023-12,False
A000735,D01126,R005,Email,2024-09-14,45,Neutral,Awaiting legal review,2024-09,False
A000736,D00753,R002,Demo,2023-05-11,45,Neutral,Sent pricing deck,2023-05,False
A000737,D00563,R002,Meeting,2024-05-23,60,No Response,Stakeholder meeting set,2024-05,False
A000738,D01105,R005,Call,2024-11-23,120,Neutral,Awaiting legal review,2024-11,False
A000739,D00489,R005,Demo,2023-05-29,15,Positive,Stakeholder meeting set,2023-05,True
A000740,D00895,R002,Call,2023-11-18,60,Negative,Stakeholder meeting set,2023-11,False
A000741,D01112,R001,Demo,2023-05-09,60,Negative,Budget approved,2023-05,False
A000742,D00104,R001,Meeting,2024-10-17,60,Negative,Champion confirmed,2024-10,False
A000743,D01120,R001,Call,2024-11-22,90,Neutral,Awaiting legal review,2024-11,False
A000744,D01025,R001,Follow-up,2023-02-17,90,Neutral,Stakeholder meeting set,2023-02,False
A000745,D01007,R004,Call,2023-12-23,30,Positive,Awaiting legal review,2023-12,True
A000746,D00407,R003,Proposal Sent,2024-08-05,30,Positive,Stakeholder meeting set,2024-08,True
A000747,D00167,R002,Email,2024-06-28,30,Neutral,Awaiting legal review,2024-06,False
A000748,D00509,R002,Follow-up,2023-08-31,120,Neutral,Champion confirmed,2023-08,False
A000749,D00313,R002,Demo,2023-09-08,30,No Response,Budget approved,2023-09,False
A000750,D00763,R005,Proposal Sent,2024-03-12,45,Neutral,Awaiting legal review,2024-03,False
A000751,D00681,R005,Follow-up,2024-03-19,90,Positive,Sent pricing deck,2024-03,True
A000752,D00477,R002,Follow-up,2024-05-22,90,Positive,,2024-05,True
A000753,D00073,R002,Follow-up,2024-12-23,30,Neutral,Sent pricing deck,2024-12,False
A000754,D01165,R004,Email,2024-06-01,45,No Response,Sent pricing deck,2024-06,False
A000755,D00582,R003,Meeting,2023-11-18,90,Neutral,,2023-11,False
A000756,D00262,R001,Email,2024-11-13,30,Positive,Champion confirmed,2024-11,True
A000757,D00245,R005,Call,2024-05-04,60,Positive,Decision deferred,2024-05,True
A000758,D00561,R001,Email,2024-10-25,45,Neutral,Awaiting legal review,2024-10,False
A000759,D01100,R001,Proposal Sent,2024-11-30,120,Positive,Decision deferred,2024-11,True
A000760,D00175,R005,Follow-up,2023-09-13,45,Neutral,Sent pricing deck,2023-09,False
A000761,D00109,R005,Email,2023-05-24,45,Positive,Champion confirmed,2023-05,True
A000762,D00183,R004,Demo,2023-11-16,60,Positive,Stakeholder meeting set,2023-11,True
A000763,D00192,R001,Demo,2023-03-27,30,Negative,Decision deferred,2023-03,False
A000764,D00065,R003,Follow-up,2024-06-08,45,Positive,Awaiting legal review,2024-06,True
A000765,D00963,R003,Call,2024-07-03,90,Positive,Decision deferred,2024-07,True
A000766,D01124,R005,Email,2024-11-27,30,Positive,Budget approved,2024-11,True
A000767,D00864,R004,Follow-up,2024-07-20,15,No Response,Sent pricing deck,2024-07,False
A000768,D01152,R004,Follow-up,2024-12-22,60,Negative,Awaiting legal review,2024-12,False
A000769,D00369,R003,Demo,2023-04-28,90,Neutral,Awaiting legal review,2023-04,False
A000770,D00851,R003,Follow-up,2023-07-29,15,Neutral,Champion confirmed,2023-07,False
A000771,D00043,R002,Demo,2024-02-17,30,Neutral,Follow up scheduled,2024-02,False
A000772,D00488,R001,Meeting,2024-04-29,15,Positive,Follow up scheduled,2024-04,True
A000773,D00078,R003,Meeting,2023-05-22,120,Positive,Budget approved,2023-05,True
A000774,D00826,R002,Proposal Sent,2023-08-04,15,Negative,Sent pricing deck,2023-08,False
A000775,D00674,R002,Call,2023-02-16,30,Positive,Budget approved,2023-02,True
A000776,D00701,R004,Meeting,2024-01-15,120,Neutral,,2024-01,False
A000777,D00759,R002,Call,2024-09-24,120,Positive,Sent pricing deck,2024-09,True
A000778,D00728,R001,Email,2023-03-27,90,Neutral,Budget approved,2023-03,False
A000779,D00925,R001,Follow-up,2023-04-15,15,No Response,Awaiting legal review,2023-04,False
A000780,D00902,R005,Proposal Sent,2024-11-18,30,Positive,Budget approved,2024-11,True
A000781,D00889,R003,Proposal Sent,2024-06-19,15,Positive,Follow up scheduled,2024-06,True
A000782,D00993,R001,Proposal Sent,2024-03-27,120,Negative,Sent pricing deck,2024-03,False
A000783,D01192,R001,Email,2023-07-09,15,Negative,Decision deferred,2023-07,False
A000784,D00339,R004,Email,2024-07-02,30,Neutral,Awaiting legal review,2024-07,False
A000785,D00193,R004,Meeting,2024-03-30,15,Neutral,Follow up scheduled,2024-03,False
A000786,D00283,R001,Email,2024-12-28,90,Neutral,Champion confirmed,2024-12,False
A000787,D00390,R002,Call,2024-11-22,15,No Response,Champion confirmed,2024-11,False
A000788,D01000,R005,Proposal Sent,2024-03-02,120,No Response,Budget approved,2024-03,False
A000789,D00525,R001,Demo,2024-02-25,30,No Response,Champion confirmed,2024-02,False
A000790,D00659,R005,Call,2023-12-30,15,Neutral,,2023-12,False
A000791,D00716,R005,Follow-up,2023-06-26,15,Neutral,Sent pricing deck,2023-06,False
A000792,D00891,R002,Proposal Sent,2024-10-07,60,Positive,Stakeholder meeting set,2024-10,True
A000793,D01113,R001,Meeting,2023-11-04,15,No Response,Sent pricing deck,2023-11,False
A000794,D01119,R002,Meeting,2024-04-03,15,Positive,Decision deferred,2024-04,True
A000795,D00452,R001,Follow-up,2024-09-26,15,Neutral,Budget approved,2024-09,False
A000796,D00428,R003,Email,2023-08-11,30,Positive,,2023-08,True
A000797,D01175,R001,Email,2024-12-21,30,No Response,Sent pricing deck,2024-12,False
A000798,D01046,R003,Email,2023-06-01,15,Positive,,2023-06,True
A000799,D00883,R002,Follow-up,2024-06-28,45,Positive,,2024-06,True
A000800,D00313,R002,Follow-up,2023-11-25,15,Negative,Champion confirmed,2023-11,False
A000801,D00840,R002,Meeting,2024-12-30,90,Positive,Awaiting legal review,2024-12,True
A000802,D00519,R002,Meeting,2023-10-22,30,Neutral,Champion confirmed,2023-10,False
A000803,D00375,R002,Email,2024-04-27,15,No Response,,2024-04,False
A000804,D00451,R001,Proposal Sent,2024-01-07,15,Neutral,Awaiting legal review,2024-01,False
A000805,D01015,R001,Proposal Sent,2024-07-26,45,Positive,Decision deferred,2024-07,True
A000806,D00595,R001,Demo,2024-01-10,45,No Response,Sent pricing deck,2024-01,False
A000807,D00500,R002,Call,2024-07-10,15,No Response,Champion confirmed,2024-07,False
A000808,D00464,R003,Email,2024-06-17,60,Neutral,Awaiting legal review,2024-06,False
A000809,D01148,R004,Call,2024-05-17,60,Positive,Budget approved,2024-05,True
A000810,D00113,R003,Demo,2024-07-31,45,Positive,Stakeholder meeting set,2024-07,True
A000811,D01036,R002,Follow-up,2024-12-21,60,Negative,Sent pricing deck,2024-12,False
A000812,D01150,R005,Call,2023-12-26,120,Positive,,2023-12,True
A000813,D00331,R001,Follow-up,2024-12-15,60,Neutral,Budget approved,2024-12,False
A000814,D00140,R004,Proposal Sent,2023-11-27,45,Neutral,Budget approved,2023-11,False
A000815,D00902,R005,Proposal Sent,2024-11-19,90,Positive,Follow up scheduled,2024-11,True
A000816,D01121,R003,Demo,2024-04-09,15,Neutral,Stakeholder meeting set,2024-04,False
A000817,D00517,R004,Meeting,2024-03-08,45,No Response,Awaiting legal review,2024-03,False
A000818,D00569,R001,Demo,2024-10-07,45,Negative,Budget approved,2024-10,False
A000819,D00846,R003,Call,2024-06-11,30,Neutral,Sent pricing deck,2024-06,False
A000820,D01093,R003,Call,2024-06-03,60,Neutral,Stakeholder meeting set,2024-06,False
A000821,D00118,R005,Demo,2024-07-16,15,Positive,Follow up scheduled,2024-07,True
A000822,D00888,R005,Email,2023-11-05,120,Positive,Budget approved,2023-11,True
A000823,D01083,R001,Follow-up,2023-08-22,45,Positive,Champion confirmed,2023-08,True
A000824,D01057,R002,Meeting,2023-10-27,90,Neutral,Awaiting legal review,2023-10,False
A000825,D00050,R001,Call,2023-05-15,45,Positive,,2023-05,True
A000826,D00019,R005,Email,2023-08-30,15,Positive,Awaiting legal review,2023-08,True
A000827,D00726,R001,Proposal Sent,2024-05-20,90,Positive,Budget approved,2024-05,True
A000828,D00197,R005,Email,2023-10-28,60,Positive,Decision deferred,2023-10,True
A000829,D00559,R001,Meeting,2023-09-23,60,Positive,Sent pricing deck,2023-09,True
A000830,D00452,R001,Demo,2024-07-03,120,Positive,Champion confirmed,2024-07,True
A000831,D00289,R004,Proposal Sent,2023-03-01,30,Positive,Decision deferred,2023-03,True
A000832,D01165,R004,Email,2024-05-15,90,Positive,Stakeholder meeting set,2024-05,True
A000833,D01108,R005,Call,2024-01-30,90,Positive,Budget approved,2024-01,True
A000834,D00391,R002,Email,2023-04-19,45,Positive,Budget approved,2023-04,True
A000835,D00215,R004,Proposal Sent,2023-06-02,15,Positive,Sent pricing deck,2023-06,True
A000836,D00215,R004,Email,2023-07-05,30,Positive,Follow up scheduled,2023-07,True
A000837,D00128,R001,Demo,2023-07-28,30,Positive,,2023-07,True
A000838,D00760,R003,Call,2024-12-01,30,Negative,Decision deferred,2024-12,False
A000839,D00404,R002,Email,2024-07-12,60,Positive,Stakeholder meeting set,2024-07,True
A000840,D01053,R001,Proposal Sent,2023-12-21,15,Neutral,,2023-12,False
A000841,D00338,R001,Call,2024-05-22,15,Positive,Follow up scheduled,2024-05,True
A000842,D00831,R005,Email,2024-04-13,15,No Response,Sent pricing deck,2024-04,False
A000843,D00714,R001,Demo,2024-11-18,120,No Response,Champion confirmed,2024-11,False
A000844,D00361,R003,Email,2023-05-14,90,Positive,Decision deferred,2023-05,True
A000845,D00569,R001,Proposal Sent,2024-12-20,15,No Response,Budget approved,2024-12,False
A000846,D00218,R002,Meeting,2023-04-30,90,Neutral,,2023-04,False
A000847,D00202,R005,Follow-up,2024-02-04,120,Positive,Follow up scheduled,2024-02,True
A000848,D00017,R005,Email,2024-12-08,120,Neutral,Champion confirmed,2024-12,False
A000849,D00322,R004,Meeting,2023-04-27,30,Negative,,2023-04,False
A000850,D00518,R005,Follow-up,2024-12-29,120,No Response,Champion confirmed,2024-12,False
A000851,D00681,R005,Proposal Sent,2024-04-16,90,Negative,Decision deferred,2024-04,False
A000852,D01106,R005,Call,2024-03-09,120,Neutral,,2024-03,False
A000853,D00425,R001,Call,2024-12-09,120,Neutral,Follow up scheduled,2024-12,False
A000854,D01019,R004,Demo,2023-10-10,90,Positive,Stakeholder meeting set,2023-10,True
A000855,D00387,R001,Meeting,2024-07-12,45,Neutral,Budget approved,2024-07,False
A000856,D00778,R005,Email,2023-06-30,90,Negative,Decision deferred,2023-06,False
A000857,D00098,R005,Follow-up,2023-11-19,15,Negative,Awaiting legal review,2023-11,False
A000858,D00208,R004,Follow-up,2023-05-29,15,Neutral,Stakeholder meeting set,2023-05,False
A000859,D00586,R005,Proposal Sent,2024-10-26,90,Negative,Awaiting legal review,2024-10,False
A000860,D00166,R001,Meeting,2024-10-22,15,Negative,Awaiting legal review,2024-10,False
A000861,D00022,R004,Meeting,2023-06-11,60,Positive,,2023-06,True
A000862,D00154,R002,Demo,2023-05-10,45,Neutral,Follow up scheduled,2023-05,False
A000863,D00219,R001,Meeting,2024-10-17,45,Positive,Awaiting legal review,2024-10,True
A000864,D00669,R004,Call,2023-06-24,60,Neutral,Sent pricing deck,2023-06,False
A000865,D00230,R001,Proposal Sent,2024-02-20,90,Positive,Stakeholder meeting set,2024-02,True
A000866,D00020,R001,Follow-up,2024-06-25,15,Neutral,Champion confirmed,2024-06,False
A000867,D00553,R005,Follow-up,2024-07-31,60,Neutral,Decision deferred,2024-07,False
A000868,D00950,R002,Proposal Sent,2024-05-02,60,Positive,Budget approved,2024-05,True
A000869,D00148,R003,Meeting,2023-04-27,30,Positive,Follow up scheduled,2023-04,True
A000870,D01132,R002,Demo,2023-05-06,120,Positive,Decision deferred,2023-05,True
A000871,D00403,R004,Demo,2024-12-24,30,Positive,Follow up scheduled,2024-12,True
A000872,D00596,R001,Email,2023-11-27,45,Positive,Decision deferred,2023-11,True
A000873,D00367,R004,Email,2024-10-15,120,Positive,Champion confirmed,2024-10,True
A000874,D00802,R002,Meeting,2024-07-21,90,Positive,Stakeholder meeting set,2024-07,True
A000875,D00918,R003,Meeting,2024-04-03,45,Negative,Follow up scheduled,2024-04,False
A000876,D01158,R005,Call,2023-09-13,60,Neutral,Awaiting legal review,2023-09,False
A000877,D00073,R002,Call,2024-12-05,45,Positive,,2024-12,True
A000878,D00481,R002,Call,2023-06-09,30,Positive,Decision deferred,2023-06,True
A000879,D00560,R001,Demo,2023-09-21,120,Neutral,Stakeholder meeting set,2023-09,False
A000880,D00745,R001,Call,2024-08-31,15,Positive,Decision deferred,2024-08,True
A000881,D00100,R004,Meeting,2023-06-08,30,Positive,Follow up scheduled,2023-06,True
A000882,D01083,R001,Call,2023-08-29,90,Neutral,Decision deferred,2023-08,False
A000883,D00508,R004,Follow-up,2024-04-27,90,Neutral,,2024-04,False
A000884,D00258,R005,Email,2024-09-08,60,Positive,Decision deferred,2024-09,True
A000885,D00413,R005,Call,2023-05-22,30,Positive,Sent pricing deck,2023-05,True
A000886,D01089,R005,Meeting,2024-07-14,90,No Response,Decision deferred,2024-07,False
A000887,D00595,R001,Email,2024-04-19,45,Neutral,Decision deferred,2024-04,False
A000888,D01178,R003,Meeting,2024-06-21,60,Neutral,,2024-06,False
A000889,D00266,R002,Email,2024-06-18,60,Positive,Decision deferred,2024-06,True
A000890,D00821,R003,Demo,2024-06-04,15,No Response,Sent pricing deck,2024-06,False
A000891,D01103,R002,Call,2023-04-26,90,Positive,Follow up scheduled,2023-04,True
A000892,D00662,R001,Proposal Sent,2024-12-15,45,Positive,Decision deferred,2024-12,True
A000893,D00947,R005,Meeting,2024-08-22,15,Neutral,Follow up scheduled,2024-08,False
A000894,D00560,R001,Proposal Sent,2023-07-17,30,Neutral,Champion confirmed,2023-07,False
A000895,D00917,R001,Proposal Sent,2023-09-25,30,Neutral,,2023-09,False
A000896,D00891,R002,Proposal Sent,2024-09-21,15,Positive,Follow up scheduled,2024-09,True
A000897,D00868,R005,Follow-up,2024-12-21,90,Neutral,Awaiting legal review,2024-12,False
A000898,D00610,R004,Meeting,2024-03-26,30,Positive,Stakeholder meeting set,2024-03,True
A000899,D00414,R004,Follow-up,2024-08-25,120,Neutral,,2024-08,False
A000900,D00025,R002,Proposal Sent,2023-01-09,120,Positive,Budget approved,2023-01,True
A000901,D00284,R003,Follow-up,2023-02-28,60,Neutral,Decision deferred,2023-02,False
A000902,D00881,R002,Email,2023-03-21,45,Negative,Stakeholder meeting set,2023-03,False
A000903,D00301,R001,Call,2023-08-26,30,Negative,Sent pricing deck,2023-08,False
A000904,D01092,R003,Follow-up,2024-08-29,120,Neutral,Sent pricing deck,2024-08,False
A000905,D01031,R002,Demo,2023-06-13,60,Positive,Budget approved,2023-06,True
A000906,D00817,R004,Call,2024-01-08,60,Positive,Sent pricing deck,2024-01,True
A000907,D01161,R003,Demo,2023-12-25,45,Positive,Sent pricing deck,2023-12,True
A000908,D01188,R004,Email,2023-07-08,120,Neutral,,2023-07,False
A000909,D00083,R001,Meeting,2024-09-07,120,Neutral,Follow up scheduled,2024-09,False
A000910,D01097,R002,Call,2024-05-26,120,Neutral,Awaiting legal review,2024-05,False
A000911,D00046,R001,Call,2024-04-01,15,Negative,Decision deferred,2024-04,False
A000912,D00618,R002,Email,2023-05-05,120,Neutral,,2023-05,False
A000913,D00928,R001,Email,2024-07-11,60,Neutral,Follow up scheduled,2024-07,False
A000914,D00262,R001,Call,2024-11-17,30,Positive,Sent pricing deck,2024-11,True
A000915,D00176,R005,Meeting,2023-11-27,120,Neutral,,2023-11,False
A000916,D01190,R004,Meeting,2024-09-11,120,Negative,Awaiting legal review,2024-09,False
A000917,D00657,R001,Demo,2024-09-21,30,Positive,Champion confirmed,2024-09,True
A000918,D00842,R004,Meeting,2023-10-20,15,Neutral,Decision deferred,2023-10,False
A000919,D00370,R003,Call,2023-04-02,60,Negative,Budget approved,2023-04,False
A000920,D00054,R001,Proposal Sent,2023-07-17,45,Neutral,,2023-07,False
A000921,D00690,R001,Email,2023-04-12,45,Negative,Budget approved,2023-04,False
A000922,D01151,R001,Email,2023-12-18,15,Positive,Champion confirmed,2023-12,True
A000923,D00367,R004,Demo,2024-11-03,30,Neutral,Decision deferred,2024-11,False
A000924,D00644,R004,Call,2023-08-07,120,Neutral,Champion confirmed,2023-08,False
A000925,D00379,R002,Demo,2023-08-14,60,Positive,Awaiting legal review,2023-08,True
A000926,D00073,R002,Proposal Sent,2024-12-17,30,Positive,,2024-12,True
A000927,D00915,R003,Proposal Sent,2023-09-17,120,Positive,,2023-09,True
A000928,D00860,R002,Proposal Sent,2024-12-25,30,Negative,,2024-12,False
A000929,D00043,R002,Demo,2024-03-13,90,Positive,Stakeholder meeting set,2024-03,True
A000930,D00377,R001,Call,2023-10-06,90,Positive,Sent pricing deck,2023-10,True
A000931,D01065,R002,Demo,2024-11-09,120,No Response,Awaiting legal review,2024-11,False
A000932,D00170,R003,Demo,2024-12-31,30,Negative,Awaiting legal review,2024-12,False
A000933,D00212,R001,Call,2023-10-02,60,Neutral,Champion confirmed,2023-10,False
A000934,D00039,R005,Demo,2024-05-23,15,Negative,,2024-05,False
A000935,D00369,R003,Demo,2023-02-19,45,No Response,Champion confirmed,2023-02,False
A000936,D00757,R003,Call,2024-10-02,60,No Response,Stakeholder meeting set,2024-10,False
A000937,D00151,R002,Meeting,2024-12-12,45,No Response,Awaiting legal review,2024-12,False
A000938,D01135,R003,Meeting,2023-04-19,60,Positive,,2023-04,True
A000939,D01071,R001,Demo,2023-07-25,90,Neutral,Decision deferred,2023-07,False
A000940,D01024,R005,Proposal Sent,2024-06-10,45,Negative,Sent pricing deck,2024-06,False
A000941,D00737,R001,Demo,2024-12-13,60,Neutral,Stakeholder meeting set,2024-12,False
A000942,D00069,R005,Meeting,2024-06-13,90,Positive,Awaiting legal review,2024-06,True
A000943,D00299,R002,Meeting,2024-08-24,90,No Response,Sent pricing deck,2024-08,False
A000944,D00944,R003,Follow-up,2024-12-06,15,No Response,Decision deferred,2024-12,False
A000945,D00802,R002,Meeting,2024-06-27,60,Negative,Decision deferred,2024-06,False
A000946,D00296,R001,Call,2024-12-16,120,Positive,Follow up scheduled,2024-12,True
A000947,D00203,R001,Meeting,2024-02-05,90,Negative,Budget approved,2024-02,False
A000948,D00061,R003,Demo,2024-05-02,30,Positive,Sent pricing deck,2024-05,True
A000949,D00946,R003,Meeting,2024-05-06,120,Positive,Follow up scheduled,2024-05,True
A000950,D00963,R003,Call,2024-06-30,30,Positive,,2024-06,True
A000951,D01185,R003,Proposal Sent,2024-12-12,120,No Response,Follow up scheduled,2024-12,False
A000952,D00331,R001,Demo,2024-12-22,60,Negative,,2024-12,False
A000953,D00338,R001,Call,2024-07-03,45,Positive,Budget approved,2024-07,True
A000954,D00639,R005,Follow-up,2023-07-18,15,Neutral,Champion confirmed,2023-07,False
A000955,D00275,R002,Follow-up,2023-03-22,90,Neutral,Sent pricing deck,2023-03,False
A000956,D01188,R004,Meeting,2023-04-19,90,Neutral,Decision deferred,2023-04,False
A000957,D00319,R001,Call,2024-12-26,30,Neutral,Decision deferred,2024-12,False
A000958,D00589,R004,Email,2024-12-30,90,Neutral,Budget approved,2024-12,False
A000959,D00504,R002,Email,2023-02-27,120,No Response,,2023-02,False
A000960,D00387,R001,Follow-up,2024-05-07,60,Positive,Champion confirmed,2024-05,True
A000961,D00870,R005,Follow-up,2024-12-05,30,Neutral,Awaiting legal review,2024-12,False
